// blank lines and lines starting with // are ignored, 
// each other line is a problem instance 
// each instance is followed by one optimal solution, 
// but any optimal solution is fine 

SICK WELL 
// SICK SILK SILL WILL WELL 

SOFT LOUD 
// SOFT LOFT LOUT LOUD 

WEEK YEAR 
// WEEK WEAK WEAR YEAR 

DRY WET 
// DRY WRY WAY WAT WET 

CENT DIME 
// CENT DENT DINT DINE DIME 

AX XI 
// AX AM HM HI XI 

TI IT
// TI HI HM AM AT IT

PART TRAP
// PART PERT PEAT FEAT FRAT FRAP TRAP 

FORTY FIFTY
// FORTY FORTH FIRTH FIFTH FIFTY 

FORTY SIXTY
// FORTY FORTS MORTS MOLTS MILTS SILTS SILTY SIXTY

FIFTY SIXTY
// FIFTY NIFTY NITTY KITTY KILTY SILTY SIXTY

ONE TWO 
// ONE ORE ORT OAT TAT TOT TOO TWO 

RICH POOR 
// RICH RICK ROCK BOCK BOOK BOOR POOR 

MA PA 
// MA PA 

ELEVEN TWELVE
// no solution

SALTY SWEET 
// SALTY SALTS SALES SALEP SHLEP SHEEP SWEEP SWEET 

WALES GLORY 
// WALES BALES BOLES BOLDS GOLDS GOADS GLADS GLADY GLARY GLORY 
